level_0,level_1,level_2,level_3,level_4,GCP_PROJECT_ID,FULL_PATH,FROM_MAPPING,INFRA_LABEL
G&A,Legal,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/Legal,folder_pl,
G&A,People,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/People,folder_pl,
G&A,People-ops,,,,,gitlab.com/PeopleOps%,folder_pl,
G&A,Recruiting,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/Recruiting,folder_pl,
G&A,Billing,,,,,gitlab.com/Billing,folder_pl,
G&A,Support and CUDs,,,,,,folder_pl,
R&D,Product Management,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/product-mgmt-c2fc1138,folder_pl,
Sales,Alliances,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-alliances-06c2bd18,folder_pl,
Sales,Channel,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-channel-3ee04bcc,folder_pl,
Sales,Commercial,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-commercial-1e94e84f,folder_pl,
Sales,CS,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-cs-454f95df,folder_pl,
Sales,CS,,,,,gitlab.com/Customer Success,folder_pl,
Sales,Ent,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-ent-67336424,folder_pl,
Sales,Field-ops,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-field-ops-17d8bc90,folder_pl,
Sales,Practice-management,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-practice-mgmt-c55fcadd,folder_pl,
Sales,PS consulting,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/sales-ps-consulting-ddcd0f4e,folder_pl,
Sales,PS education,,,,,gitlab.com/Customer Success/PS Education,folder_pl,
R&D,Opstrace,,,,,gitlab.com/cloud-realms/opstrace-realm-c170d0a4,folder_pl,
R&D,Engineering services,,,,,gitlab.com/cloud-realms/eng-services-realm-dbc69de8,folder_pl,
R&D,Engineering Infrastructure Saas,,,,,gitlab.com/cloud-realms/eng-infra-saas-realm-4f395ad7%,folder_pl,
R&D,Business Tech,,,,,gitlab.com/cloud-realms/business-tech-realm-27666457%,folder_pl,
R&D,Other sandboxes,,,,,gitlab.com/Sandbox,folder_pl,
R&D,Group Projects,QA Projects,,,,gitlab.com/Group Projects/GitLab QA Projects,folder_pl,
R&D,Group Projects,QA Projects,,,gitlab-qa-runners,gitlab.com/Infrastructure,projects_pl,
R&D,Group Projects,Others,,,,gitlab.com/Group Projects,folder_pl,
R&D,Analytics,,,,,gitlab.com/Analytics,folder_pl,
Services,Appsec,,,,,gitlab.com/cloud-realms/services-realm-1feec840/appsec-6af02b80,folder_pl,
Services,Data,,,,,gitlab.com/cloud-realms/services-realm-1feec840/data-f30b342e,folder_pl,
Services,Dedicated,,,,,gitlab.com/cloud-realms/services-realm-1feec840/dedicated-6a0c0859,folder_pl,
Services,Eng-productivity,,,,,gitlab.com/cloud-realms/services-realm-1feec840/eng-productivity-57de876a,folder_pl,
Services,Infrasec,,,,,gitlab.com/cloud-realms/services-realm-1feec840/infrasec-1e633789,folder_pl,
Services,IT dev,,,,,gitlab.com/cloud-realms/services-realm-1feec840/it-dev-671a9f9e,folder_pl,
Services,IT infra,,,,,gitlab.com/cloud-realms/services-realm-1feec840/it-infra-26adae90,folder_pl,
Services,IT sec,,,,,gitlab.com/cloud-realms/services-realm-1feec840/it-sec-b21ab0cc,folder_pl,
Services,IT Ops,,,,,gitlab.com/IT Operations,folder_pl,
Services,Logsec,,,,,gitlab.com/cloud-realms/services-realm-1feec840/logsec-54686a9f,folder_pl,
Services,Marketing,,,,,gitlab.com/cloud-realms/services-realm-1feec840/mktg-b9799fc1,folder_pl,
Services,Red,,,,,gitlab.com/cloud-realms/services-realm-1feec840/red-d5da398d,folder_pl,
Services,Secauto,,,,,gitlab.com/cloud-realms/services-realm-1feec840/secauto-9aa68f27,folder_pl,
Services,SIRT,,,,,gitlab.com/cloud-realms/services-realm-1feec840/sirt-a75d9f6b,folder_pl,
Services,Support,,,,,gitlab.com/cloud-realms/services-realm-1feec840/support-94de1d93,folder_pl,
Services,Support,,,,,gitlab.com/Group Projects/GitLab Support Projects,folder_pl,
Services,Vulnerability Management,,,,,gitlab.com/cloud-realms/services-realm-1feec840/vuln-mgmt-5dac935a,folder_pl,
Services,Websites,,,,,gitlab.com/cloud-realms/services-realm-1feec840/websites-fd4d8dad,folder_pl,
Services,Others,,,,,gitlab.com/Infrastructure/Services,folder_pl,
GitLab Infrastructure,Gitaly,Repository Storage,,,,gitlab.com/Infrastructure/Environments,repo_storage_pl_daily,gitaly
GitLab Infrastructure,Gitaly,LFS,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,git_lfs
GitLab Infrastructure,Gitaly,wip,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,gitaly
GitLab Infrastructure,CI/CD,Runners,Shared CUDs costs,,,gitlab.com/Infrastructure/Environments,continuous_integration_lookback,continuous_integration
GitLab Infrastructure,CI/CD,Container Registry,Production,,,gitlab.com/Infrastructure/Environments,t2d_cud_lookback,registry
GitLab Infrastructure,CI/CD,Container Registry,Production,,,gitlab.com/Infrastructure/Environments,folder_pl,registry
GitLab Infrastructure,CI/CD,Container Registry,Production,,,gitlab.com/Infrastructure/Environments,infralabel_pl,registry
GitLab Infrastructure,CI/CD,Container Registry,Production,,,gitlab.com/Infrastructure/Environments,container_registry_pl_daily,registry
GitLab Infrastructure,CI/CD,Build Artifacts,,,,gitlab.com/Infrastructure/Environments,build_artifacts_pl_daily,build_artifacts
GitLab Infrastructure,CI/CD,Build Artifacts,,,,gitlab.com/Infrastructure/Environments,build_artifacts_pl_dev_daily,build_artifacts
GitLab Infrastructure,CI/CD,Build Artifacts,,,,gitlab.com/Infrastructure/Environments,folder_pl,build_artifacts
GitLab Infrastructure,CI/CD,Other costs,,,,gitlab.com/Infrastructure/Environments,t2d_cud_lookback,continuous_integration
GitLab Infrastructure,HAProxy,Carrier Peering Network,HTTPs Git Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-HTTPs Git Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,SSH Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-SSH Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,API Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-API Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,Web Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-Web Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,Pages Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-Pages Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,WebSockets Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-WebSockets Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,Registry Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-Registry Data Transfer,
GitLab Infrastructure,HAProxy,Carrier Peering Network,TBD,,,gitlab.com/Infrastructure/Environments,haproxy-cpn-TBD,
GitLab Infrastructure,HAProxy,Inter-Egress,HTTPs Git Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-HTTPs Git Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,SSH Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-SSH Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,API Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-API Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Web Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-Web Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Pages Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-Pages Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,WebSockets Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-WebSockets Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Registry Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-Registry Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,TBD,,,gitlab.com/Infrastructure/Environments,haproxy-inter-egress-TBD,
GitLab Infrastructure,HAProxy,Inter-Egress,HTTPs Git Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-HTTPs Git Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,SSH Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-SSH Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,API Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-API Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Web Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-Web Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Pages Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-Pages Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,WebSockets Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-WebSockets Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,Registry Data Transfer,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-Registry Data Transfer,
GitLab Infrastructure,HAProxy,Inter-Egress,TBD,,,gitlab.com/Infrastructure/Environments,haproxy-cdn-TBD,
GitLab Infrastructure,Pages,Production,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,pages
GitLab Infrastructure,Pages,Production,,,,gitlab.com/Infrastructure/Environments,folder_pl,pages
GitLab Infrastructure,Shared,,,,,gitlab.com/Infrastructure/Environments,flex_cud_lookback,shared
GitLab Infrastructure,Shared,,,,,gitlab.com/Infrastructure/Environments,t2d_cud_lookback,shared
GitLab Infrastructure,Shared,,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,shared
GitLab Infrastructure,Shared,,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,infrastructure
GitLab Infrastructure,Dependency proxy,,,,,gitlab.com/Infrastructure/Environments,infralabel_pl,dependency_proxy
GitLab Infrastructure,CI/CD,gitlab-production costs,,,,gitlab.com/Infrastructure/Environments,,continuous_integration
